timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675792487785,347,wikipedia-1,200,OK,Thread Group 1-81,text,true,,76617,122,22,22,https://www.wikipedia.org/,249,0,159
1675792487676,464,wikipedia,200,OK,Thread Group 1-94,text,true,,77212,244,22,22,https://www.wikipedia.org/,153,0,77
1675792487676,153,wikipedia-0,301,TLS Redirect,Thread Group 1-94,,true,,595,122,22,22,http://www.wikipedia.org/,153,0,77
1675792487830,310,wikipedia-1,200,OK,Thread Group 1-94,text,true,,76617,122,22,22,https://www.wikipedia.org/,211,0,125
1675792486335,1808,wikipedia,200,OK,Thread Group 1-71,text,true,,77212,244,22,22,https://www.wikipedia.org/,460,0,75
1675792486335,460,wikipedia-0,301,TLS Redirect,Thread Group 1-71,,true,,595,122,22,22,http://www.wikipedia.org/,460,0,75
1675792486796,1347,wikipedia-1,200,OK,Thread Group 1-71,text,true,,76617,122,22,22,https://www.wikipedia.org/,1254,0,1165
1675792487861,310,djmag,200,OK,Thread Group 1-99,text,true,,93130,232,22,22,https://djmag.com/,74,0,35
1675792487861,74,djmag-0,301,Moved Permanently,Thread Group 1-99,,true,,648,118,22,22,http://www.djmag.com/,74,0,35
1675792487935,236,djmag-1,200,OK,Thread Group 1-99,text,true,,92482,114,22,22,https://djmag.com/,181,0,96
1675792486972,1237,topgear,200,OK,Thread Group 1-82,text,true,,388820,240,22,22,https://www.topgear.com/,142,0,102
1675792486972,142,topgear-0,301,Moved Permanently,Thread Group 1-82,,true,,319,120,22,22,http://www.topgear.com/,142,0,102
1675792487114,1095,topgear-1,200,OK,Thread Group 1-82,text,true,,388501,120,22,22,https://www.topgear.com/,996,0,89
1675792487936,295,djmag,200,OK,Thread Group 1-100,text,true,,93141,232,21,21,https://djmag.com/,75,0,25
1675792487936,75,djmag-0,301,Moved Permanently,Thread Group 1-100,,true,,650,118,21,21,http://www.djmag.com/,75,0,25
1675792488011,220,djmag-1,200,OK,Thread Group 1-100,text,true,,92491,114,21,21,https://djmag.com/,173,0,87
1675792487741,534,pinterest,200,OK,Thread Group 1-95,text,true,,216552,244,21,21,https://www.pinterest.com/,106,0,56
1675792487741,106,pinterest-0,301,Moved Permanently,Thread Group 1-95,,true,,211,122,21,21,http://www.pinterest.com/,106,0,56
1675792487848,427,pinterest-1,200,OK,Thread Group 1-95,text,true,,216341,122,21,21,https://www.pinterest.com/,351,0,69
1675792488073,247,djmag,200,OK,Thread Group 1-98,text,true,,93126,232,21,21,https://djmag.com/,52,0,21
1675792488073,52,djmag-0,301,Moved Permanently,Thread Group 1-98,,true,,648,118,21,21,http://www.djmag.com/,52,0,21
1675792488126,194,djmag-1,200,OK,Thread Group 1-98,text,true,,92478,114,21,21,https://djmag.com/,136,0,65
1675792487846,484,pinterest,200,OK,Thread Group 1-96,text,true,,216290,244,21,21,https://www.pinterest.com/,58,0,31
1675792487846,58,pinterest-0,301,Moved Permanently,Thread Group 1-96,,true,,211,122,21,21,http://www.pinterest.com/,58,0,31
1675792487904,426,pinterest-1,200,OK,Thread Group 1-96,text,true,,216079,122,21,21,https://www.pinterest.com/,317,0,78
1675792487014,1346,topgear,200,OK,Thread Group 1-57,text,true,,388820,240,21,21,https://www.topgear.com/,100,0,60
1675792487014,100,topgear-0,301,Moved Permanently,Thread Group 1-57,,true,,319,120,21,21,http://www.topgear.com/,100,0,60
1675792487114,1246,topgear-1,200,OK,Thread Group 1-57,text,true,,388501,120,21,21,https://www.topgear.com/,1097,0,90
1675792487812,601,topgear,200,OK,Thread Group 1-89,text,true,,388755,240,20,20,https://www.topgear.com/,84,0,46
1675792487812,84,topgear-0,301,Moved Permanently,Thread Group 1-89,,true,,319,120,20,20,http://www.topgear.com/,84,0,46
1675792487896,517,topgear-1,200,OK,Thread Group 1-89,text,true,,388436,120,20,20,https://www.topgear.com/,351,0,67
1675792488050,365,wikipedia,200,OK,Thread Group 1-87,text,true,,77212,244,19,19,https://www.wikipedia.org/,80,0,41
1675792488050,80,wikipedia-0,301,TLS Redirect,Thread Group 1-87,,true,,595,122,19,19,http://www.wikipedia.org/,80,0,41
1675792488131,284,wikipedia-1,200,OK,Thread Group 1-87,text,true,,76617,122,19,19,https://www.wikipedia.org/,177,0,96
1675792487736,713,topgear,200,OK,Thread Group 1-84,text,true,,388762,240,19,19,https://www.topgear.com/,111,0,61
1675792487736,111,topgear-0,301,Moved Permanently,Thread Group 1-84,,true,,319,120,19,19,http://www.topgear.com/,111,0,61
1675792487848,601,topgear-1,200,OK,Thread Group 1-84,text,true,,388443,120,19,19,https://www.topgear.com/,440,0,64
1675792488120,354,wikipedia,200,OK,Thread Group 1-97,text,true,,77212,244,18,18,https://www.wikipedia.org/,85,0,39
1675792488120,85,wikipedia-0,301,TLS Redirect,Thread Group 1-97,,true,,595,122,18,18,http://www.wikipedia.org/,85,0,39
1675792488205,269,wikipedia-1,200,OK,Thread Group 1-97,text,true,,76617,122,18,18,https://www.wikipedia.org/,185,0,121
1675792488112,380,wikipedia,200,OK,Thread Group 1-92,text,true,,77212,244,18,18,https://www.wikipedia.org/,85,0,39
1675792488112,85,wikipedia-0,301,TLS Redirect,Thread Group 1-92,,true,,595,122,18,18,http://www.wikipedia.org/,85,0,39
1675792488198,294,wikipedia-1,200,OK,Thread Group 1-92,text,true,,76617,122,18,18,https://www.wikipedia.org/,206,0,123
1675792486144,2357,imdb,403,Forbidden,Thread Group 1-93,text,false,,1258,234,18,18,https://www.imdb.com/,89,0,52
1675792486144,89,imdb-0,301,Moved Permanently,Thread Group 1-93,text,true,,592,117,18,18,http://www.imdb.com/,89,0,52
1675792486234,2267,imdb-1,403,Forbidden,Thread Group 1-93,text,false,,666,117,18,18,https://www.imdb.com/,2267,0,94
1675792488171,375,wikipedia,200,OK,Thread Group 1-99,text,true,,77212,244,18,18,https://www.wikipedia.org/,86,0,42
1675792488171,86,wikipedia-0,301,TLS Redirect,Thread Group 1-99,,true,,595,122,18,18,http://www.wikipedia.org/,86,0,42
1675792488258,288,wikipedia-1,200,OK,Thread Group 1-99,text,true,,76617,122,18,18,https://www.wikipedia.org/,196,0,136
1675792488276,304,djmag,200,OK,Thread Group 1-95,text,true,,93134,232,18,18,https://djmag.com/,82,0,43
1675792488276,82,djmag-0,301,Moved Permanently,Thread Group 1-95,,true,,648,118,18,18,http://www.djmag.com/,82,0,43
1675792488358,222,djmag-1,200,OK,Thread Group 1-95,text,true,,92486,114,18,18,https://djmag.com/,144,0,62
1675792487852,740,topgear,200,OK,Thread Group 1-88,text,true,,388762,240,18,18,https://www.topgear.com/,59,0,28
1675792487853,739,topgear,200,OK,Thread Group 1-86,text,true,,388820,240,18,18,https://www.topgear.com/,58,0,27
1675792487852,59,topgear-0,301,Moved Permanently,Thread Group 1-88,,true,,319,120,18,18,http://www.topgear.com/,59,0,28
1675792487853,58,topgear-0,301,Moved Permanently,Thread Group 1-86,,true,,319,120,18,18,http://www.topgear.com/,58,0,27
1675792487912,680,topgear-1,200,OK,Thread Group 1-88,text,true,,388443,120,18,18,https://www.topgear.com/,539,0,76
1675792487912,680,topgear-1,200,OK,Thread Group 1-86,text,true,,388501,120,18,18,https://www.topgear.com/,535,0,76
1675792488231,378,wikipedia,200,OK,Thread Group 1-100,text,true,,77212,244,16,16,https://www.wikipedia.org/,115,0,56
1675792488231,115,wikipedia-0,301,TLS Redirect,Thread Group 1-100,,true,,595,122,16,16,http://www.wikipedia.org/,115,0,56
1675792488346,263,wikipedia-1,200,OK,Thread Group 1-100,text,true,,76617,122,16,16,https://www.wikipedia.org/,154,0,102
1675792488330,292,djmag,200,OK,Thread Group 1-96,text,true,,93153,232,16,16,https://djmag.com/,59,0,28
1675792488330,59,djmag-0,301,Moved Permanently,Thread Group 1-96,,true,,660,118,16,16,http://www.djmag.com/,59,0,28
1675792488390,232,djmag-1,200,OK,Thread Group 1-96,text,true,,92493,114,16,16,https://djmag.com/,191,0,73
1675792488320,358,wikipedia,200,OK,Thread Group 1-98,text,true,,77212,244,16,16,https://www.wikipedia.org/,91,0,45
1675792488320,91,wikipedia-0,301,TLS Redirect,Thread Group 1-98,,true,,595,122,16,16,http://www.wikipedia.org/,91,0,45
1675792488411,267,wikipedia-1,200,OK,Thread Group 1-98,text,true,,76617,122,16,16,https://www.wikipedia.org/,170,0,93
1675792488115,586,topgear,200,OK,Thread Group 1-91,text,true,,388755,240,16,16,https://www.topgear.com/,43,0,19
1675792488115,43,topgear-0,301,Moved Permanently,Thread Group 1-91,,true,,319,120,16,16,http://www.topgear.com/,43,0,19
1675792488158,543,topgear-1,200,OK,Thread Group 1-91,text,true,,388436,120,16,16,https://www.topgear.com/,404,0,61
1675792488074,658,topgear,200,OK,Thread Group 1-83,text,true,,388762,240,15,15,https://www.topgear.com/,51,0,25
1675792488074,51,topgear-0,301,Moved Permanently,Thread Group 1-83,,true,,319,120,15,15,http://www.topgear.com/,51,0,25
1675792488126,606,topgear-1,200,OK,Thread Group 1-83,text,true,,388443,120,15,15,https://www.topgear.com/,484,0,50
1675792487698,1090,topgear,200,OK,Thread Group 1-85,text,true,,388820,240,14,14,https://www.topgear.com/,113,0,55
1675792487698,113,topgear-0,301,Moved Permanently,Thread Group 1-85,,true,,319,120,14,14,http://www.topgear.com/,113,0,55
1675792487811,977,topgear-1,200,OK,Thread Group 1-85,text,true,,388501,120,14,14,https://www.topgear.com/,846,0,89
1675792488132,704,topgear,200,OK,Thread Group 1-81,text,true,,388820,240,13,13,https://www.topgear.com/,46,0,23
1675792488132,46,topgear-0,301,Moved Permanently,Thread Group 1-81,,true,,319,120,13,13,http://www.topgear.com/,46,0,23
1675792488179,657,topgear-1,200,OK,Thread Group 1-81,text,true,,388501,120,13,13,https://www.topgear.com/,562,0,57
1675792487871,1031,topgear,200,OK,Thread Group 1-90,text,true,,388820,240,12,12,https://www.topgear.com/,56,0,27
1675792487871,56,topgear-0,301,Moved Permanently,Thread Group 1-90,,true,,319,120,12,12,http://www.topgear.com/,56,0,27
1675792487928,974,topgear-1,200,OK,Thread Group 1-90,text,true,,388501,120,12,12,https://www.topgear.com/,876,0,77
1675792488501,452,pinterest,200,OK,Thread Group 1-93,text,true,,216126,244,11,11,https://www.pinterest.com/,78,0,30
1675792488501,78,pinterest-0,301,Moved Permanently,Thread Group 1-93,,true,,211,122,11,11,http://www.pinterest.com/,78,0,30
1675792488580,373,pinterest-1,200,OK,Thread Group 1-93,text,true,,215915,122,11,11,https://www.pinterest.com/,293,0,62
